Surrogate code,Study Area,XRF_Setting,Sample_Type,Source_Zone,Source_Specific,Sample_ID,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Si_ppm,Ti_ppm,Al_ppm,Fe_ppm,Mn_ppm,Mg_ppm,Ca_ppm,Na_ppm,K_ppm,Bag_Info
Suco201431,Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-CP,Hahei,AR 4006b,148.5,98.1,31.6,261.7,10.3,,,,,,,,,,
Suco201432,Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,BH_FS_32_4,156.2,40.0,37.4,155.2,11.5,,,,,,,,,,
Suco201433,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_11_1,135.3,37.9,36.6,162.4,10.9,,,,,,,,,,
Suco201434,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_11_2,142.5,37.7,32.4,155.6,13.5,,,,,,,,,,
Suco201435,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_12_1,142.4,45.1,37.7,183.4,11.4,,,,,,,,,,
Suco201436,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_12_2,160.3,40.0,39.3,177.0,12.5,,,,,,,,,,
Suco201437,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_12_3,153.7,34.0,38.6,166.5,14.0,,,,,,,,,,
Suco201438,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_13,147.1,36.5,37.3,151.8,10.9,,,,,,,,,,
Suco201439,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_17_10,163.1,39.3,38.0,171.2,10.4,,,,,,,,,,
Suco201440,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_17_2,125.1,37.0,35.9,164.0,11.3,,,,,,,,,,
Suco201441,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_17_3,144.3,35.1,34.4,162.4,14.7,,,,,,,,,,
Suco201442,Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_17_4,132.5,40.3,36.0,155.7,9.7,,,,,,,,,,
