Surrogate code,Sample_Type,Sample_ID,Study Area,Source_Specific
Suco2014824,Artefact,NAP11_375,Pouerua,Kaeo
Suco2014825,Artefact,NAP11_376,Pouerua,Kaeo
Suco2014826,Artefact,NAP11_377,Pouerua,Kaeo
Suco2014827,Artefact,NAP11_378,Pouerua,Kaeo
Suco2014828,Artefact,NAP11_379,Pouerua,Kaeo
Suco2014829,Artefact,NAP11_380,Pouerua,Kaeo
Suco2014830,Artefact,NAP11_381,Pouerua,Kaeo
Suco2014831,Artefact,NAP11_382,Pouerua,Kaeo
Suco2014832,Artefact,NAP11_383,Pouerua,Kaeo
Suco2014833,Artefact,NAP11_384,Pouerua,Kaeo
Suco2014834,Artefact,NAP11_385,Pouerua,Kaeo
Suco2014835,Artefact,NAP11_386,Pouerua,Kaeo
Suco2014836,Artefact,NAP11_387,Pouerua,Kaeo
Suco2014837,Artefact,NAP11_388,Pouerua,Kaeo
Suco2014838,Artefact,NAP11_389,Pouerua,Kaeo
Suco2014839,Artefact,NAP11_390,Pouerua,Kaeo
Suco2014840,Artefact,NAP11_391,Pouerua,Kaeo
Suco2014841,Artefact,NAP11_392,Pouerua,Huruiki
Suco2014842,Artefact,NAP11_393,Pouerua,Kaeo
Suco2014843,Artefact,NAP11_394,Pouerua,Kaeo
Suco2014844,Artefact,NAP11_395,Pouerua,Kaeo
Suco2014845,Artefact,NAP11_396,Pouerua,Kaeo
Suco2014846,Artefact,NAP11_397,Pouerua,Kaeo
Suco2014847,Artefact,NAP11_398,Pouerua,Kaeo
Suco2014848,Artefact,NAP11_399,Pouerua,Kaeo
Suco2014849,Artefact,NAP11_400,Pouerua,Kaeo
Suco2014850,Artefact,NAP11_401,Pouerua,Mayor Island
Suco2014851,Artefact,NAP11_402,Pouerua,Kaeo
Suco2014852,Artefact,NAP11_403,Pouerua,Kaeo
Suco2014853,Artefact,NAP11_405,Pouerua,Kaeo
Suco2014854,Artefact,NAP11_406,Pouerua,Kaeo
Suco2014855,Artefact,NAP11_407,Pouerua,Huruiki
Suco2014856,Artefact,NAP11_408,Pouerua,Kaeo
Suco2014857,Artefact,NAP11_409,Pouerua,Kaeo
Suco2014858,Artefact,NAP11_410,Pouerua,Huruiki
Suco2014859,Artefact,NAP11_411,Pouerua,Kaeo
Suco2014860,Artefact,NAP11_412,Pouerua,Kaeo
Suco2014861,Artefact,NAP11_413,Pouerua,Kaeo
Suco2014862,Artefact,NAP11_414,Pouerua,Huruiki
Suco2014863,Artefact,NAP11_415,Pouerua,Kaeo
Suco2014864,Artefact,NAP11_416,Pouerua,Kaeo
Suco2014865,Artefact,NAP11_417,Pouerua,Kaeo
Suco2014866,Artefact,NAP11_418,Pouerua,Kaeo
Suco2014867,Artefact,NAP11_419,Pouerua,Kaeo
Suco2014868,Artefact,NAP11_420,Pouerua,Kaeo
Suco2014869,Artefact,NAP11_421,Pouerua,Kaeo
Suco2014870,Artefact,NAP11_422,Pouerua,Kaeo
Suco2014871,Artefact,NAP11_423,Pouerua,Kaeo
Suco2014872,Artefact,NAP11_424,Pouerua,Kaeo
Suco2014873,Artefact,NAP11_425,Pouerua,Mayor Island
Suco2014874,Artefact,NAP11_426,Pouerua,Kaeo
Suco2014875,Artefact,NAP11_427,Pouerua,Kaeo
Suco2014876,Artefact,NAP11_428,Pouerua,Kaeo
Suco2014877,Artefact,NAP11_429,Pouerua,Kaeo
Suco2014878,Artefact,NAP11_430,Pouerua,Kaeo
Suco2014879,Artefact,NAP11_431,Pouerua,Mayor Island
Suco2014880,Artefact,NAP11_432,Pouerua,Kaeo
Suco2014881,Artefact,NAP11_433,Pouerua,Huruiki
Suco2014882,Artefact,NAP11_434,Pouerua,Kaeo
Suco2014883,Artefact,NAP11_436,Pouerua,Kaeo
Suco2014884,Artefact,NAP11_437,Pouerua,Kaeo
Suco2014885,Artefact,NAP11_438,Pouerua,Kaeo
Suco2014886,Artefact,NAP11_439,Pouerua,Kaeo
Suco2014887,Artefact,NAP11_440,Pouerua,Kaeo
Suco2014888,Artefact,NAP11_441,Pouerua,Kaeo
Suco2014889,Artefact,NAP11_442,Pouerua,Kaeo
Suco2014890,Artefact,NAP11_443,Pouerua,Huruiki
Suco2014891,Artefact,NAP11_444,Pouerua,Kaeo
Suco2014892,Artefact,NAP11_445,Pouerua,Kaeo
Suco2014893,Artefact,NAP11_446,Pouerua,Kaeo
Suco2014894,Artefact,NAP11_447,Pouerua,Kaeo
Suco2014895,Artefact,NAP11_448,Pouerua,Kaeo
Suco2014896,Artefact,NAP11_449,Pouerua,Kaeo
Suco2014897,Artefact,NAP11_450,Pouerua,Kaeo
Suco2014898,Artefact,NAP11_451,Pouerua,Kaeo
Suco2014899,Artefact,NAP11_452,Pouerua,Kaeo
Suco2014900,Artefact,NAP11_453,Pouerua,Huruiki
Suco2014901,Artefact,NAP11_454,Pouerua,Kaeo
Suco2014902,Artefact,NAP11_455,Pouerua,Kaeo
Suco2014903,Artefact,NAP11_456,Pouerua,Kaeo
Suco2014904,Artefact,NAP11_457,Pouerua,Kaeo
Suco2014905,Artefact,NAP11_458,Pouerua,Kaeo
Suco2014906,Artefact,NAP11_459,Pouerua,Kaeo
Suco2014907,Artefact,NAP11_460,Pouerua,Kaeo
Suco2014908,Artefact,NAP11_461,Pouerua,Kaeo
Suco2014909,Artefact,NAP11_462,Pouerua,Kaeo
Suco2014910,Artefact,NAP11_463,Pouerua,Huruiki
Suco2014911,Artefact,NAP11_464,Pouerua,Kaeo
Suco2014912,Artefact,NAP11_465,Pouerua,Kaeo
Suco2014913,Artefact,NAP11_466,Pouerua,Kaeo
Suco2014914,Artefact,NAP11_467,Pouerua,Kaeo
Suco2014915,Artefact,NAP11_468,Pouerua,Kaeo
Suco2014916,Artefact,NAP11_469,Pouerua,Huruiki
Suco2014917,Artefact,NAP11_470,Pouerua,Kaeo
Suco2014918,Artefact,NAP11_471,Pouerua,Kaeo
Suco2014919,Artefact,NAP11_472,Pouerua,Huruiki
Suco2014920,Artefact,NAP11_473,Pouerua,Kaeo
Suco2014921,Artefact,NAP11_474,Pouerua,Kaeo
Suco2014922,Artefact,NAP11_475,Pouerua,Kaeo
Suco2014923,Artefact,NAP11_476,Pouerua,Kaeo
Suco2014924,Artefact,NAP11_477,Pouerua,Kaeo
Suco2014925,Artefact,NAP11_478,Pouerua,Kaeo
Suco2014926,Artefact,NAP11_479,Pouerua,Kaeo
Suco2014927,Artefact,NAP11_480,Pouerua,Kaeo
Suco2014928,Artefact,NAP11_481,Pouerua,Kaeo
Suco2014929,Artefact,NAP11_482,Pouerua,Kaeo
Suco2014930,Artefact,NAP11_483,Pouerua,Kaeo
Suco2014931,Artefact,NAP11_484,Pouerua,Kaeo
Suco2014932,Artefact,NAP11_485,Pouerua,Kaeo
Suco2014933,Artefact,NAP11_486,Pouerua,Kaeo
Suco2014934,Artefact,NAP11_487,Pouerua,Huruiki
Suco2014935,Artefact,NAP11_488,Pouerua,Kaeo
Suco2014936,Artefact,NAP11_489,Pouerua,Huruiki
Suco2014937,Artefact,NAP11_490,Pouerua,Kaeo
Suco2014938,Artefact,NAP11_491,Pouerua,Kaeo
Suco2014939,Artefact,NAP11_492,Pouerua,Huruiki
Suco2014940,Artefact,NAP11_493,Pouerua,Huruiki
Suco2014941,Artefact,NAP11_494,Pouerua,Kaeo
Suco2014942,Artefact,NAP11_495,Pouerua,Kaeo
Suco2014943,Artefact,NAP11_496,Pouerua,Kaeo
Suco2014944,Artefact,NAP11_497,Pouerua,Kaeo
Suco2014945,Artefact,NAP11_498,Pouerua,Kaeo
Suco2014946,Artefact,NAP11_499,Pouerua,Kaeo
Suco2014947,Artefact,NAP11_500,Pouerua,Kaeo
Suco2014948,Artefact,NAP11_501,Pouerua,Kaeo
Suco2014949,Artefact,NAP11_502,Pouerua,Kaeo
Suco2014950,Artefact,NAP11_503,Pouerua,Kaeo
Suco2014951,Artefact,NAP11_504,Pouerua,Kaeo
Suco2014952,Artefact,NAP11_505,Pouerua,Kaeo
Suco2014953,Artefact,NAP11_506,Pouerua,Kaeo
Suco2014954,Artefact,NAP11_507,Pouerua,Kaeo
Suco2014955,Artefact,NAP11_508,Pouerua,Kaeo
Suco2014956,Artefact,NAP11_509,Pouerua,Kaeo
Suco2014957,Artefact,NAP11_510,Pouerua,Kaeo
Suco2014958,Artefact,NAP11_511,Pouerua,Kaeo
Suco2014959,Artefact,NAP11_512,Pouerua,Kaeo
Suco2014960,Artefact,NAP11_513,Pouerua,Kaeo
Suco2014961,Artefact,NAP11_514,Pouerua,Kaeo
Suco2014962,Artefact,NAP11_515,Pouerua,Kaeo
Suco2014963,Artefact,NAP11_516,Pouerua,Kaeo
Suco2014964,Artefact,NAP11_517,Pouerua,Kaeo
Suco2014965,Artefact,NAP11_518,Pouerua,Kaeo
Suco2014966,Artefact,NAP11_519,Pouerua,Kaeo
Suco2014967,Artefact,NAP11_521,Pouerua,Kaeo
Suco2014968,Artefact,NAP11_522,Pouerua,Kaeo
Suco2014969,Artefact,NAP11_523,Pouerua,Kaeo
Suco2014970,Artefact,NAP11_524,Pouerua,Kaeo
Suco2014971,Artefact,NAP11_525,Pouerua,Huruiki
Suco2014972,Artefact,NAP11_526,Pouerua,Kaeo
Suco2014973,Artefact,NAP11_527,Pouerua,Kaeo
Suco2014974,Artefact,NAP11_528,Pouerua,Kaeo
Suco2014975,Artefact,NAP11_529,Pouerua,Kaeo
Suco2014976,Artefact,NAP11_530,Pouerua,Kaeo
Suco2014977,Artefact,NAP11_531,Pouerua,Kaeo
Suco2014978,Artefact,NAP11_532,Pouerua,Kaeo
Suco2014979,Artefact,NAP11_533,Pouerua,Kaeo
Suco2014980,Artefact,NAP11_534,Pouerua,Kaeo
Suco2014981,Artefact,NAP11_535,Pouerua,Kaeo
Suco2014982,Artefact,NAP11_536,Pouerua,Kaeo
Suco2014983,Artefact,NAP11_537,Pouerua,Kaeo
Suco2014984,Artefact,NAP11_538,Pouerua,Kaeo
Suco2014985,Artefact,NAP11_539,Pouerua,Kaeo
Suco2014986,Artefact,NAP11_540,Pouerua,Kaeo
Suco2014987,Artefact,NAP11_541,Pouerua,Kaeo
Suco2014988,Artefact,NAP11_543,Pouerua,Kaeo
Suco2014989,Artefact,NAP11_544,Pouerua,Kaeo
Suco2014990,Artefact,NAP11_545,Pouerua,Kaeo
Suco2014991,Artefact,NAP11_546,Pouerua,Kaeo
Suco2014992,Artefact,NAP11_547,Pouerua,Kaeo
Suco2014993,Artefact,NAP11_548,Pouerua,Kaeo
Suco2014994,Artefact,NAP11_549,Pouerua,Kaeo
Suco2014995,Artefact,NAP11_550,Pouerua,Kaeo
Suco2014996,Artefact,NAP11_551,Pouerua,Kaeo
Suco2014997,Artefact,NAP11_552,Pouerua,Huruiki
Suco2014998,Artefact,NAP11_553,Pouerua,Kaeo
Suco2014999,Artefact,NAP11_554,Pouerua,Kaeo
Suco20141000,Artefact,NAP11_555,Pouerua,Kaeo
Suco20141001,Artefact,NAP11_556,Pouerua,Kaeo
Suco20141002,Artefact,NAP11_557,Pouerua,Kaeo
Suco20141003,Artefact,NAP11_558,Pouerua,Kaeo
Suco20141004,Artefact,NAP11_559,Pouerua,Kaeo
Suco20141005,Artefact,NAP11_560,Pouerua,Kaeo
Suco20141006,Artefact,NAP11_561,Pouerua,Kaeo
Suco20141007,Artefact,NAP11_562,Pouerua,Kaeo
Suco20141008,Artefact,NAP11_563,Pouerua,Kaeo
Suco20141009,Artefact,NAP11_564,Pouerua,Kaeo
Suco20141010,Artefact,NAP11_565,Pouerua,Kaeo
Suco20141011,Artefact,NAP11_566,Pouerua,Kaeo
Suco20141012,Artefact,NAP11_567,Pouerua,Kaeo
Suco20141013,Artefact,NAP11_568,Pouerua,Kaeo
Suco20141014,Artefact,NAP11_569,Pouerua,Kaeo
Suco20141015,Artefact,NAP11_570,Pouerua,Kaeo
Suco20141016,Artefact,NAP11_571,Pouerua,Kaeo
Suco20141017,Artefact,NAP11_572,Pouerua,Kaeo
Suco20141018,Artefact,NAP11_573,Pouerua,Kaeo
Suco20141019,Artefact,NAP11_574,Pouerua,Kaeo
Suco20141020,Artefact,NAP11_575,Pouerua,Kaeo
Suco20141021,Artefact,NAP11_576,Pouerua,Kaeo
Suco20141022,Artefact,NAP11_577,Pouerua,Kaeo
Suco20141023,Artefact,NAP11_578,Pouerua,Kaeo
Suco20141024,Artefact,NAP11_579,Pouerua,Huruiki
Suco20141025,Artefact,NAP11_580,Pouerua,Kaeo
Suco20141026,Artefact,NAP11_581,Pouerua,Huruiki
Suco20141027,Artefact,NAP11_582,Pouerua,Huruiki
Suco20141028,Artefact,NAP11_583,Pouerua,Fanal Island
Suco20141029,Artefact,NAP11_584,Pouerua,Kaeo
Suco20141030,Artefact,NAP11_585,Pouerua,Huruiki
Suco20141031,Artefact,NAP11_586,Pouerua,Fanal Island
Suco20141032,Artefact,NAP11_587,Pouerua,Fanal Island
Suco20141033,Artefact,NAP11_588,Pouerua,Kaeo
Suco20141034,Artefact,NAP11_589,Pouerua,Kaeo
Suco20141035,Artefact,NAP11_590,Pouerua,Huruiki
Suco20141036,Artefact,NAP11_591,Pouerua,Kaeo
Suco20141037,Artefact,NAP11_592,Pouerua,Kaeo
Suco20141038,Artefact,NAP11_593,Pouerua,Huruiki
Suco20141039,Artefact,NAP11_594,Pouerua,Kaeo
Suco20141040,Artefact,NAP11_595,Pouerua,Kaeo
Suco20141041,Artefact,NAP11_596,Pouerua,Kaeo
Suco20141042,Artefact,NAP11_597,Pouerua,Kaeo
Suco20141043,Artefact,NAP11_598,Pouerua,Kaeo
Suco20141044,Artefact,NAP11_599,Pouerua,Kaeo
Suco20141045,Artefact,NAP11_600,Pouerua,Kaeo
Suco20141046,Artefact,NAP11_601,Pouerua,Kaeo
Suco20141047,Artefact,NAP11_602,Pouerua,Kaeo
Suco20141048,Artefact,NAP11_603,Pouerua,Huruiki
Suco20141049,Artefact,NAP11_604,Pouerua,Kaeo
Suco20141050,Artefact,NAP11_605,Pouerua,Kaeo
Suco20141051,Artefact,NAP11_606,Pouerua,Kaeo
Suco20141052,Artefact,NAP11_607,Pouerua,Kaeo
Suco20141053,Artefact,NAP11_608,Pouerua,Kaeo
Suco20141054,Artefact,NAP11_609,Pouerua,Huruiki
Suco20141055,Artefact,NAP11_610,Pouerua,Huruiki
Suco20141056,Artefact,NAP11_611,Pouerua,Kaeo
Suco20141057,Artefact,NAP11_612,Pouerua,Kaeo
Suco20141058,Artefact,NAP11_613,Pouerua,Kaeo
Suco20141059,Artefact,NAP11_614,Pouerua,Kaeo
Suco20141060,Artefact,NAP11_615,Pouerua,Kaeo
Suco20141061,Artefact,NAP11_616,Pouerua,Kaeo
Suco20141062,Artefact,NAP11_617,Pouerua,Kaeo
Suco20141063,Artefact,NAP11_618,Pouerua,Kaeo
Suco20141064,Artefact,NAP11_619,Pouerua,Huruiki
Suco20141065,Artefact,NAP11_620,Pouerua,Kaeo
Suco20141066,Artefact,NAP11_621,Pouerua,Kaeo
Suco20141067,Artefact,NAP11_622,Pouerua,Huruiki
Suco20141068,Artefact,NAP11_623,Pouerua,Kaeo
Suco20141069,Artefact,NAP11_321,,Taupo
