Surrogate code,Sample_Type,Sample_ID,Study Area,Source_Specific
Suco2014130,Artefact,HB_FS_21_47_1,Helena Bay,Huruiki
Suco2014131,Artefact,HB_FS_21_47_2,Helena Bay,Huruiki
Suco2014132,Artefact,HB_FS_21_47_3,Helena Bay,Huruiki
Suco2014133,Artefact,HB_FS_21_47_4,Helena Bay,Huruiki
Suco2014134,Artefact,HB_FS_21_48_1,Helena Bay,Huruiki
Suco2014135,Artefact,HB_FS_21_48_2,Helena Bay,Huruiki
Suco2014136,Artefact,HB_FS_21_49,Helena Bay,Huruiki
Suco2014137,Artefact,HB_FS_21_5,Helena Bay,Huruiki
Suco2014138,Artefact,HB_FS_21_50,Helena Bay,Huruiki
Suco2014139,Artefact,HB_FS_21_51,Helena Bay,Huruiki
Suco2014140,Artefact,HB_FS_21_52,Helena Bay,Huruiki
Suco2014141,Artefact,HB_FS_21_53,Helena Bay,Huruiki
Suco2014142,Artefact,HB_FS_21_54,Helena Bay,Huruiki
Suco2014143,Artefact,HB_FS_21_55,Helena Bay,Huruiki
Suco2014144,Artefact,HB_FS_21_56_1,Helena Bay,Huruiki
Suco2014145,Artefact,HB_FS_21_56_10,Helena Bay,Huruiki
Suco2014146,Artefact,HB_FS_21_56_11,Helena Bay,Huruiki
Suco2014147,Artefact,HB_FS_21_56_12,Helena Bay,Huruiki
Suco2014148,Artefact,HB_FS_21_56_13,Helena Bay,Huruiki
Suco2014149,Artefact,HB_FS_21_56_14,Helena Bay,Huruiki
Suco2014150,Artefact,HB_FS_21_56_15,Helena Bay,Huruiki
Suco2014151,Artefact,HB_FS_21_56_16,Helena Bay,Huruiki
Suco2014152,Artefact,HB_FS_21_56_17,Helena Bay,Huruiki
Suco2014153,Artefact,HB_FS_21_56_2,Helena Bay,Huruiki
Suco2014154,Artefact,HB_FS_21_56_3,Helena Bay,Huruiki
Suco2014155,Artefact,HB_FS_21_56_4,Helena Bay,Huruiki
Suco2014156,Artefact,HB_FS_21_56_5,Helena Bay,Huruiki
Suco2014157,Artefact,HB_FS_21_56_6,Helena Bay,Huruiki
Suco2014158,Artefact,HB_FS_21_56_7,Helena Bay,Huruiki
Suco2014159,Artefact,HB_FS_21_56_8,Helena Bay,Huruiki
Suco2014160,Artefact,HB_FS_21_56_9,Helena Bay,Huruiki
Suco2014161,Artefact,HB_FS_21_57_1,Helena Bay,Huruiki
Suco2014162,Artefact,HB_FS_21_57_10,Helena Bay,Huruiki
Suco2014163,Artefact,HB_FS_21_57_11,Helena Bay,Huruiki
Suco2014164,Artefact,HB_FS_21_57_12,Helena Bay,Huruiki
Suco2014165,Artefact,HB_FS_21_57_13,Helena Bay,Huruiki
Suco2014166,Artefact,HB_FS_21_57_14,Helena Bay,Huruiki
Suco2014167,Artefact,HB_FS_21_57_15,Helena Bay,Huruiki
Suco2014168,Artefact,HB_FS_21_57_16,Helena Bay,Huruiki
Suco2014169,Artefact,HB_FS_21_57_17,Helena Bay,Huruiki
Suco2014170,Artefact,HB_FS_21_57_18,Helena Bay,Huruiki
Suco2014171,Artefact,HB_FS_21_57_19,Helena Bay,Huruiki
Suco2014172,Artefact,HB_FS_21_57_2,Helena Bay,Huruiki
Suco2014173,Artefact,HB_FS_21_57_20,Helena Bay,Huruiki
Suco2014174,Artefact,HB_FS_21_57_21,Helena Bay,Huruiki
Suco2014175,Artefact,HB_FS_21_57_22,Helena Bay,Huruiki
Suco2014176,Artefact,HB_FS_21_57_23,Helena Bay,Huruiki
Suco2014177,Artefact,HB_FS_21_57_24,Helena Bay,Huruiki
Suco2014178,Artefact,HB_FS_21_57_25,Helena Bay,Huruiki
Suco2014179,Artefact,HB_FS_21_57_26,Helena Bay,Huruiki
Suco2014180,Artefact,HB_FS_21_57_27,Helena Bay,Huruiki
Suco2014181,Artefact,HB_FS_21_57_28,Helena Bay,Huruiki
Suco2014182,Artefact,HB_FS_21_57_29,Helena Bay,Huruiki
Suco2014183,Artefact,HB_FS_21_57_3,Helena Bay,Huruiki
Suco2014184,Artefact,HB_FS_21_57_30,Helena Bay,Huruiki
Suco2014185,Artefact,HB_FS_21_57_31,Helena Bay,Huruiki
Suco2014186,Artefact,HB_FS_21_57_33,Helena Bay,Huruiki
Suco2014187,Artefact,HB_FS_21_57_34,Helena Bay,Huruiki
Suco2014188,Artefact,HB_FS_21_57_35,Helena Bay,Huruiki
Suco2014189,Artefact,HB_FS_21_57_36,Helena Bay,Huruiki
Suco2014190,Artefact,HB_FS_21_57_37,Helena Bay,Huruiki
Suco2014191,Artefact,HB_FS_21_57_38,Helena Bay,Huruiki
Suco2014192,Artefact,HB_FS_21_57_39,Helena Bay,Huruiki
Suco2014193,Artefact,HB_FS_21_57_4,Helena Bay,Huruiki
